mergeName,partyKey,canonicalName,name,abbrev,aka,sector,year,congress,votes,percentage,seats,nomineeNames,reps,representatives_status,status,notes,source_url,note_type,status_flag,ui_red_flag,verification_note,membership_notes,reps_source
Association of Philippine Electric Cooperatives,association-of-philippine-electric-cooperatives,Association of Philippine Electric Cooperatives,Association of Philippine Electric Cooperatives,,APEC; APEC Partylist; Association of Philippine Electric Cooperatives,Energy / Cooperatives,1998,11th Congress,503487,5.50,2,Melvyn Eballe; Rene Silos,Melvyn Eballe; Rene Silos,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:1998_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
"Alyansang Bayanihan ng mga Magsasaka, Manggagawang Bukid at Mangingisda",alyansang-bayanihan-ng-mga-magsasaka-manggagawang-bukid-at-mangingisda,"Alyansang Bayanihan ng mga Magsasaka, Manggagawang Bukid at Mangingisda","Alyansang Bayanihan ng mga Magsasaka, Manggagawang Bukid at Mangingisda",,,Agriculture / Farmers,1998,11th Congress,321646,3.51,1,Leonardo Montemayor; Dioscoro Granada,Leonardo Montemayor; Dioscoro Granada,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,"Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster. | Leonardo Montemayor resigned on February 12, 2001 after being appointed Agriculture Secretary; Dioscoro Granada succeeded him.",https://en.wikipedia.org/wiki/Template:1998_Philippine_House_party-list_election_results,membership_change,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,"Leonardo Montemayor resigned on February 12, 2001 after being appointed Agriculture Secretary; Dioscoro Granada succeeded him.",Congress membership list / party page cross-check
Alagad,alagad,Alagad,Alagad,,,,1998,11th Congress,312500,3.41,1,Diogenes Osabel,Diogenes Osabel,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:1998_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Veterans Federation Party,veterans-federation-party,Veterans Federation Party,Veterans Federation Party,,,,1998,11th Congress,304902,3.33,1,Eduardo Pilapil,Eduardo Pilapil,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:1998_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Probinsya Muna Development Initiative,probinsya-muna-development-initiative,Probinsya Muna Development Initiative,Probinsya Muna Development Initiative,,,,1998,11th Congress,255184,2.79,1,Joy Augustus Young,Joy Augustus Young,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:1998_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
"Adhikain at Kilusan ng Ordinaryong Tao Para sa Lupa, Pabahay, Hanapbuhay at Kaunlaran",adhikain-at-kilusan-ng-ordinaryong-tao-para-sa-lupa-pabahay-hanapbuhay-at-kaunlaran,"Adhikain at Kilusan ng Ordinaryong Tao Para sa Lupa, Pabahay, Hanapbuhay at Kaunlaran","Adhikain at Kilusan ng Ordinaryong Tao Para sa Lupa, Pabahay, Hanapbuhay at Kaunlaran",,,,1998,11th Congress,239042,2.61,1,Ariel Zartiga,Ariel Zartiga,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:1998_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
National Federation of Small Coconut Farmers Organization,national-federation-of-small-coconut-farmers-organization,National Federation of Small Coconut Farmers Organization,National Federation of Small Coconut Farmers Organization,,,Agriculture / Farmers,1998,11th Congress,238303,2.60,1,Gorgonio Unde,Gorgonio Unde,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:1998_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Abanse! Pinay,abanse-pinay,Abanse! Pinay,Abanse! Pinay,,,Women,1998,11th Congress,235548,2.57,1,Patricia Sarenas,Patricia Sarenas,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:1998_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Akbayan,akbayan,Akbayan,Akbayan,,Akbayan Citizens Action Party; Akbayan Citizens' Action Party; Akbayan Party-list; Akbayan Partylist,,1998,11th Congress,232376,2.54,1,Etta Rosales,Etta Rosales,VERIFIED_FROM_CONGRESS_MEMBERSHIP_LIST,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:1998_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Congress membership list / party page cross-check
Luzon Farmers Party,luzon-farmers-party,Luzon Farmers Party,Luzon Farmers Party,,,Agriculture / Farmers,1998,11th Congress,215643,2.36,1,,,NEEDS_OFFICIAL_ROSTER_RECHECK,Active / elected,Verified election-result row with seats > 0. Historical representative names are not filled in this file unless separately verified from an official House roster.,https://en.wikipedia.org/wiki/Template:1998_Philippine_House_party-list_election_results,info,active,no,Seat count row copied from election-result tables; representative names are filled only where separately verified. Use representatives_status to audit completeness.,,Not filled: needs official House roster verification for this Congress row
