NCR (National Capital Region),District,20th Congress,19th congress,18th Congress,17th Congress,16th Congress,15th Congress,14th Congress,13th Congress,12th Congress,11th Congress,10th Congress,9th Congress,8th Congress
Region VIII (Eastern Visayas),"Leyte, 4th District"," Gomez, Richard Frank ""Goma"" I."," Gomez, Richard Frank ""Goma"" I.","Gomez, Lucy Marie Torres","Gomez, Lucy Marie Torres","Gomez, Lucy Marie Torres","Gomez, Lucy Marie Torres","Codilla, Eufrocino Sr. Mejares","Codilla, Eufrocino Sr. Mejares","Locsin, Ma. Victoria L.; 
Codilla, Eufrocino Sr. Mejares","Locsin, Ma. Victoria L.","Locsin, Leo Carmelo Sr. J.","Locsin, Leo Carmelo Sr. J.","Locsin, Leo Carmelo Sr. J."
NCR (National Capital Region),"Manila, 6th District","Abante, Bienvenido M., Jr.","Abante, Bienvenido Jr. ""Benny"" Mirando","Abante, Bienvenido Jr. ""Benny"" Mirando","Ocampo, Rosenda Ann ""Sandy"" Malabanan","Ocampo, Rosenda Ann ""Sandy"" Malabanan","Ocampo, Rosenda Ann ""Sandy"" Malabanan","Abante, Bienvenido Jr. ""Benny"" Mirando","Abante, Bienvenido Jr. ""Benny"" Mirando","Jimenez, Mark B.","Ocampo, Rosenda Ann ""Sandy"" Malabanan","Ocampo, Rosenda Ann ""Sandy"" Malabanan","Ocampo, Rosenda Ann ""Sandy"" Malabanan","Ocampo, Pablo V."
Region VIII (Eastern Visayas),"Eastern Samar, Lone District","Gonzales, Christopher Sheen","Abunda, Maria Fe R.","Abunda, Maria Fe R.","Evardone, Ben P.","Evardone, Ben P.","Evardone, Ben P.","Coquilla, Teodulo ""Doloy"" M.","Libanan, Marcelino ""Nonoy"" Chicano","Libanan, Marcelino ""Nonoy"" Chicano","Libanan, Marcelino ""Nonoy"" Chicano","Ramirez, Jose ""Joe"" Tan","Ramirez, Jose ""Joe"" Tan","Ramirez, Jose ""Joe"" Tan"
Region XII (SOCCSKSARGEN),"General Santos City, Lone District","Acharon, Loreto B.","Acharon, Loreto B.",,,,,,,,,,,
Region IV-A (CALABARZON),"Antipolo City, 2nd District","Acop, Romeo M.","Acop, Romeo M.","Acop, Resurreccion M.","Acop, Romeo M.","Acop, Romeo M.","Acop, Romeo M.","Gatlabayan, Angelito Cabaron","Sumulong, Victor ""Vic"" R.",,,,,
BARMM (Bangsamoro Autonomous Region in Muslim Mindanao),"Lanao del Sur, 1st District","Adiong, Zia-ur-Rahman ""Zia"" Alonto","Adiong, Zia-ur-Rahman ""Zia"" Alonto","Adiong, Ansaruddin Abdul Malik ""Hooky"" Alonto","Adiong, Ansaruddin Abdul Malik ""Hooky"" Alonto","Adiong, Ansaruddin Abdul Malik ""Hooky"" Alonto","Pangandaman, Mohammed Hussein P.","Dumarpa, Faysah R.P.M.","Dumarpa, Faysah R.P.M.","Dumarpa, Faysah R.P.M.","Adiong, Mamintal Sr. M.","Adiong, Mamintal Sr. M.","Adiong, Mamintal Sr. M.","Dianalan, Omar Maruhom"
Region IV-A (CALABARZON),"Cavite, 3rd District","Advincula, Adrian Jay C.","Advincula, Adrian Jay ""AJ"" Caguicla","Advincula, Alex ""AA"" L.","Advincula, Alex ""AA"" L.","Advincula, Alex ""AA"" L.","Maliksi, Erineo ""Ayong"" Saquilayan","Remulla, Jesus Crispin ""Boying"" Catibayan","Remulla, Jesus Crispin ""Boying"" Catibayan","Beratio, Napoleon R.","Beratio, Napoleon R.","Unas, Telesforo A.","Unas, Telesforo A.","Nuñez, Jorge Abueg"
Region IV-A (CALABARZON),"Laguna, 4th District","Agarao, Benjamin C., Jr.","Agarao-Aloroso, Maria Jamina Katherine ""Jam"" Baltazar","Agarao, Benjamin Jr. C.","Agarao, Benjamin Jr. C.","Agarao, Benjamin Jr. C.","San Luis, Edgar ""Egay"" S.","San Luis, Edgar ""Egay"" S.","Agarao, Benjamin Jr. C.","San Luis, Rodolfo ""Boyie"" S.","San Luis, Rodolfo ""Boyie"" S.","Palacol, Magdaleno M.","Palacol, Magdaleno M.","Palacol, Magdaleno M."
CAR (Cordillera Administrative Region),"Kalinga, Lone District","Agyao, Caroline B. MD.","Agyao, Caroline B. MD.","Mangaoang, Allen Jesse C.","Mangaoang, Allen Jesse ""Sonny"" Capuyan","Agyao, Manuel S.","Agyao, Manuel S.","Agyao, Manuel S.","Wacnang, Lawrence B.","Wacnang, Lawrence B.","Wacnang, Lawrence B.",,,
Region X (Northern Mindanao),"Bukidnon, 1st District","Alba, Jose Manuel F.","Alba, Jose Manuel ""Joeman"" Falqueza ","Acosta-Alba, Maria Lourdes ""Malou"" Olaivar","Acosta-Alba, Maria Lourdes ""Malou"" Olaivar","Acosta-Alba, Maria Lourdes ""Malou"" Olaivar","Paras, Jesus Emmanuel M.","Pancrudo, Candido Jr. P.","Acosta, Juan Romeo Nereus ""Neric"" Olaivar","Acosta, Juan Romeo Nereus ""Neric"" Olaivar","Acosta, Juan Romeo Nereus ""Neric"" Olaivar","Acosta, Socorro ""Coring"" Olaivar","Acosta, Socorro ""Coring"" Olaivar","Acosta, Socorro ""Coring"" Olaivar"
Region II (Cagayan Valley),"Isabela, 1st District","Albano, Antonio ""Tonypet"" T.","Albano, Antonio ""Tonypet"" T.","Albano, Antonio ""Tonypet"" T.","Albano, Rodolfo III ""Rodito"" Taguinod","Albano, Rodolfo III ""Rodito"" Taguinod","Albano, Rodolfo Jr. B.","Albano, Rodolfo III ""Rodito"" Taguinod","Albano, Rodolfo III ""Rodito"" Taguinod","Albano, Rodolfo Jr. B.","Albano, Rodolfo III ""Rodito"" Taguinod","Albano, Rodolfo Jr. B.","Albano, Rodolfo Jr. B.","Albano, Rodolfo Jr. B."
Region II (Cagayan Valley),"Cagayan, 2nd District","Alfonso, Baby Aline ""Aline"" Vargas","Alfonso, Baby Aline ""Aline"" Vargas","Alfonso, Samantha Louise Vargas","Vargas-Alfonso, Baby Aline","Vargas-Alfonso, Baby Aline","Vargas-Alfonso, Baby Aline","Vargas, Florencio L.","Vargas, Florencio L.","Taganas-Layus, Celias T.","Lara, Edgar Ramones","Lara, Edgar Ramones","Lara, Edgar Ramones","Puzon, Leoncio M."
Region XI (Davao Region),"Davao Oriental, 2nd District","Almario, Cheeno Miguel D. ","Almario, Cheeno Miguel D. ","Almario, Joel Mayo Z.","Almario, Joel Mayo Z.","Almario, Thelma Z.","Almario, Thelma Z.","Almario, Thelma Z.","Almario, Joel Mayo Z.","Almario, Joel Mayo Z.","Almario, Joel Mayo Z.","Almario, Thelma Z.","Almario, Thelma Z.","Almario, Thelma Z."
Region X (Northern Mindanao),"Misamis Occidental, 1st District","Almonte, Jason P. ","Almonte, Jason P. ","Ty, Diego ""Nonoy"" C.","Almonte, Jorge T.","Almonte, Jorge T.","Almonte, Jorge T.","Clarete, Marina P.","Clarete, Ernie Dulalas","Clarete, Ernie Dulalas","Catane, Percival B.","Catane, Percival B.","Catane, Percival B.","Ozamiz, Julio Hyndman"
Region IV-A (CALABARZON),"Biñan City, Lone District","Alonte-Naguiat, Marlyn ""Len"" B.","Alonte-Naguiat, Marlyn ""Len"" B.","Alonte-Naguiat, Marlyn ""Len"" B.","Alonte-Naguiat, Marlyn ""Len"" B.",,,,,,,,,
Region IV-B (MIMAROPA),"Palawan, 2nd District","Alvarez, Jose C.","Alvarez, Jose Chavez","Abueg-Zaldivar, Cyrille ""Beng"" F.","Abueg, Frederick ""Erick"" F.","Abueg, Frederick ""Erick"" F.","Socrates, Victorino Dennis Macalinao","Mitra, Abraham Kahlil ""Baham"" Blanco","Mitra, Abraham Kahlil ""Baham"" Blanco","Mitra, Abraham Kahlil ""Baham"" Blanco","Abueg, Alfredo Amor Jr. E.","Abueg, Alfredo Amor Jr. E.","Abueg, Alfredo Amor Jr. E.","Mitra, Ramon Jr. Villarosa"
Region VI (Western Visayas),"Negros Occidental, 6th District","Alvarez, Mercedes K.","Alvarez, Mercedes ""Chedeng "" Koa ","Alvarez, Genaro Jr. Montilla","Alvarez, Mercedes ""Cheding"" Kho","Alvarez, Mercedes ""Cheding"" Kho","Alvarez, Mercedes ""Cheding"" Kho","Alvarez, Genaro Jr. Montilla","Alvarez, Genaro Rafael III Kho","Alvarez, Genaro Jr. Montilla","Alvarez, Genaro Jr. Montilla","Alvarez, Genaro Jr. Montilla","Starke, Hortensia Laguda","Starke, Hortensia Laguda"
Region XI (Davao Region),"Davao del Norte, 1st District","Alvarez, Pantaleon D.","Alvarez, Pantaleon D.","Alvarez, Pantaleon ""Bebot"" Diaz","Alvarez, Pantaleon ""Bebot"" Diaz","Del Rosario, Anthony G.","Del Rosario, Anthony G.","Olaño, Arrel Reyes","Olaño, Arrel Reyes","Olaño, Arrel Reyes","Alvarez, Pantaleon ""Bebot"" Diaz","Sarmiento, Rogelio M.","Sarmiento, Rogelio M.","Sarmiento, Lorenzo S."
Region IV-A (CALABARZON),"Laguna, 3rd District","Amante, Loreto S.","Amante, Loreto ""Amben""","Aragones-Sampelo, Marisol ""Sol"" Castillo","Aragones-Sampelo, Marisol ""Sol"" Castillo","Aragones-Sampelo, Marisol ""Sol"" Castillo","Arago, Maria Evita ""Ivy"" R. ","Arago, Maria Evita ""Ivy"" R. ","Bueser, Danton Q.","Bueser, Danton Q.","Bueser, Danton Q.","Aquino, Florante ""Boy"" L.","Aquino, Florante ""Boy"" L.","Aquino, Florante ""Boy"" L."
