PERIOD,YEARS,DATE,INAUGURATION,MEMBERS,DISTRICT SEATS,PARTY-LIST / SECTORAL SEATS,THEORETICAL SEATS,SEAT DIFFERENCE,
1st Philippine Legislature,1907-1909,"October 16, 1907 - May 20, 1909",,83,,,,,
2nd Philippine Legislature,1910-1912,"March 28, 1910 - February 6, 1912",,85,,,,,
3rd Philippine Legislature,1912-1916,"October 16, 1912 - February 24, 1916",,89,,,,,
4th Philippine Legislature,1916-1919,"October 16, 1916 - March 8, 1919",,90,,,,,
5th Philippine Legislature,1919-1922,"July 21, 1919 - March 14, 1922",,94,,,,,
6th Philippine Legislature,1922-1925,"October 27, 1922 - February 8, 1925",,93,,,,,
7th Philippine Legislature,1925-1928,"July 16, 1925 - November 9, 1927",,93,,,,,
8th Philippine Legislature,1928-1930,"July 16, 1928 - November 7, 1930",,96,,,,,
9th Philippine Legislature,1931-1934,"July 16, 1931 - May 5, 1934",,100,,,,,
10th Philippine Legislature,1934-1935,"July 16, 1934 - November 21, 1935",,96,,,,,
,,,,,,,,,
1st National Assembly (Commonwealth),1935-1938,"November 25, 1935 - August 15, 1938",,102,,,,,
2nd National Assembly (Commonwealth),1939-1941,"January 24, 1939 - December 16, 1941",,99,,,,,
,,,,,,,,,
National Assembly,1943-1944,"October 18, 1943 - February 2, 1944",,111,,,,,
,,,,,,,,,
1st Congress of the Commonwealth,1945,"June 9, 1945 - December 20, 1945",,98,,,,,
2nd Congress of the Commonwealth,1946,"May 25, 1946 - July 3, 1946",,,,,,,
,,,,,,,,,
1st Congress,1946-1949,"July 5, 1946 - December 13, 1949",,,,,,,
2nd Congress,1949-1953,"December 30, 1949 - December 8, 1953",,107,,,,,
3rd Congress,1954-1957,"January 25, 1954 - December 10, 1957",,106,,,,,
4th Congress,1958-1961,"January 27, 1958 - December 13, 1961",,103,,,,,
5th Congress,1962-1965,"January 22, 1962 - December 17, 1965",,106,,,,,
6th Congress,1966-1969,"January 17, 1966 - June 17, 1969",,110,,,,,
7th Congress,1970-1972,"January 26, 1970 - September 23, 1972",,109,,,,,
,,,,,,,,,
Batasang Bayan,1976-1977,,,140,,,,,
Interim Batasang Pambansa,1978-1984,"June 12, 1978 - June 5, 1984",,190,,,,,
Regular Batasang Pambansa,1984-1986,"July 23, 1984 - March 25, 1986",,198,,,,,
,,,,,,,,,
8th Congress,1987-1992,"July 27, 1987 - June 22, 1992","June 30, 1987",219,200,14,214,5,"Bandon -> Espaldon;
Dureza -> Nograles;
Mercado, Roger -> Lerias;
Pineda -> Bondoc;
Robles -> Santos"
9th Congress,1992-1995,"July 27, 1992 - May 26, 1995","June 30, 1992",220,200,16,216,4,"Lanto -> Hisuler;
Rama -> Amante;
Roxas, G. -> Roxas, M.
Sanchez -> Duavit"
10th Congress,1995-1998,"July 24, 1995 - February 20, 1998","June 30, 1995",225,203,22,225,0,
11th Congress,1998-2001,"July 27, 1998 - July 18, 2000","June 30, 1998",224,208,14,222,2,"Villarosa -> Quintos;
Montemayor -> Granada"
12th Congress,2001-2004,"July 23, 2001 - May 28, 2004","June 30, 2001",235,209,20,229,6,"Abaya, A. -> Aggabao;
Beltran -> Deduro;
Jalosjos -> Jalosjos-Carreon;
Lanot -> Cariño;
Locsion -> Codilla;
Maza -> Virador"
13th Congress,2004-2007,"July 26, 2004 - July 24, 2006","June 30, 2004",239,212,24,236,3,"Abubakar -> Jaafar;
Cruz -> Chavez;
Durano, J -> Durano R."
14th Congress,2007-2010,"July 23, 2007 - June 7, 2010","June 30, 2007",276,219,52,271,5,"Beltran -> Mariano;
Cua, G. -> Ping-ay;
Dueñas -> Reyes;
Salimbangon -> Martinez
Sandoval -> Lacson-Noel"
15th Congress,2010-2013,"July 26, 2010 - June 30, 2013","June 30, 2010",291,229,57,286,5,"Arroyo, I. -> Mirasol;
Diaz -> Ebdane;
Mercado H. -> Maranan;
Singson, R. -> Singson, R.;
Vargas -> Vargas-Alfonso"
16th Congress,2013-2016,"July 22, 2013 - June 8, 2016","June 30, 2013",295,234,57,291,4,"Bello -> Ludovice-Katoh;
Daza -> Abayon;
Pichay -> Ty-Delgado
Reyes -> Velasco"
17th Congress,2016-2019,"July 25, 2016 - June 4, 2019","June 30, 2016",303,238,59,297,6,"Aglipay-Villar -> Pico;
Batocabe -> Ang;
Roque -> Calalang;
Calalang -> Hernandez;
De Vera -> Garces;
Turabin-Hataman -> Sangcopan"
18th Congress,2019-2022,"July 22, 2019 - ","June 30, 2019",306,243,61,304,2,"Albano, R. -> Ty, A.;
Datol -> Ordanes"
,,,,,,,,,
,,,,2833,,,2791,42,
